ENS_GENEID	geneSymbol
ENSRNOG00000001945	Vcsa2
ENSRNOG00000001942	Vcsa1
ENSRNOG00000052288	U6
ENSRNOG00000052136	U4
ENSRNOG00000046081	AABR07015079.1
ENSRNOG00000057505	AABR07015015.2
ENSRNOG00000057504	AABR07072374.2
ENSRNOG00000054857	AABR07014125.1
ENSRNOG00000054855	AABR07014855.1
ENSRNOG00000023446	Btbd8
ENSRNOG00000009281	Commd1
ENSRNOG00000002956	Stim2
ENSRNOG00000049999	AABR07015531.1
ENSRNOG00000003704	Fam184b
ENSRNOG00000025645	Abca13
ENSRNOG00000056604	U1
ENSRNOG00000054657	AABR07015067.1
ENSRNOG00000047789	AABR07014925.1
ENSRNOG00000011856	Ankrd29
ENSRNOG00000050545	AABR07015056.1
ENSRNOG00000058717	U6
ENSRNOG00000061697	AC134757.1
ENSRNOG00000011073	Htt
ENSRNOG00000003924	Pi4k2b
ENSRNOG00000018319	Pisd
ENSRNOG00000057641	AC133613.1
ENSRNOG00000003119	Gc
ENSRNOG00000002244	Pdgfra
ENSRNOG00000002246	Slc30a9
ENSRNOG00000002247	Nup54
ENSRNOG00000002248	Fryl
ENSRNOG00000057821	AABR07015165.1
ENSRNOG00000002050	Igfbp7
ENSRNOG00000053119	SNORA17
ENSRNOG00000027929	Poln
ENSRNOG00000061144	SNORA27
ENSRNOG00000004621	Rtn4
ENSRNOG00000004626	Slc34a2
ENSRNOG00000051404	AABR07014242.1
ENSRNOG00000061332	U4
ENSRNOG00000056459	U6
ENSRNOG00000003095	Fgfbp1
ENSRNOG00000003098	Prom1
ENSRNOG00000054144	AABR07016731.1
ENSRNOG00000044095	5S_rRNA
ENSRNOG00000056158	U6
ENSRNOG00000010706	Ccdc117
ENSRNOG00000059932	SNORA17
ENSRNOG00000002433	G3bp2
ENSRNOG00000004998	Jakmip1
ENSRNOG00000004992	Rab1a
ENSRNOG00000006845	Psapl1
ENSRNOG00000061611	AABR07072400.2
ENSRNOG00000061615	Gm8973
ENSRNOG00000055911	AABR07015505.1
ENSRNOG00000049895	Pigg
ENSRNOG00000024899	Cxcl13
ENSRNOG00000002579	Parm1
ENSRNOG00000054513	AC106663.1
ENSRNOG00000054518	SNORA70
ENSRNOG00000037621	RGD1309870
ENSRNOG00000019361	Inpp5j
ENSRNOG00000055646	AABR07014387.1
ENSRNOG00000046246	Spon2
ENSRNOG00000057438	SNORA52
ENSRNOG00000053882	AABR07014897.2
ENSRNOG00000051775	AABR07016412.1
ENSRNOG00000059565	SNORA32
ENSRNOG00000051487	Kremen1
ENSRNOG00000061005	AABR07016572.1
ENSRNOG00000023533	Fam69a
ENSRNOG00000003174	Tapt1
ENSRNOG00000060060	AABR07014499.1
ENSRNOG00000007849	Zmat5
ENSRNOG00000005411	Aftph
ENSRNOG00000002829	Ppbp
ENSRNOG00000002055	Noa1
ENSRNOG00000002054	Glmn
ENSRNOG00000002057	Slc10a6
ENSRNOG00000002053	Fras1
ENSRNOG00000030665	LOC498414
ENSRNOG00000039326	Csn2
ENSRNOG00000052897	AABR07014983.3
ENSRNOG00000052898	SNORA50
ENSRNOG00000052764	AABR07016779.1
ENSRNOG00000047320	AABR07015582.1
ENSRNOG00000053383	AABR07015705.1
ENSRNOG00000027801	Zpbp
ENSRNOG00000061276	U6
ENSRNOG00000061271	AC098180.1
ENSRNOG00000059061	Uqcr10
ENSRNOG00000049782	Csf2ra
ENSRNOG00000007002	Lif
ENSRNOG00000006356	RGD1562229
ENSRNOG00000003205	Ldb2
ENSRNOG00000039548	AABR07014487.1
ENSRNOG00000035312	5S_rRNA
ENSRNOG00000055991	Tmprss11d
ENSRNOG00000044193	5S_rRNA
ENSRNOG00000055372	AC106663.2
ENSRNOG00000051190	Smim20
ENSRNOG00000058903	AABR07015112.1
ENSRNOG00000051889	Usp34
ENSRNOG00000050592	AABR07016166.1
ENSRNOG00000043857	AABR07015814.1
ENSRNOG00000050047	LOC100359907
ENSRNOG00000051316	Rn60_14_0449.2
ENSRNOG00000054224	Bloc1s4
ENSRNOG00000054226	AABR07015783.1
ENSRNOG00000005302	Slc2a9
ENSRNOG00000052335	U6
ENSRNOG00000054969	U1
ENSRNOG00000051926	7SK
ENSRNOG00000051929	Phox2b
ENSRNOG00000053274	AABR07016633.4
ENSRNOG00000061566	SNORA17
ENSRNOG00000002320	Commd8
ENSRNOG00000002327	Gabrb1
ENSRNOG00000026828	Scfd2
ENSRNOG00000029734	LOC360933
ENSRNOG00000001912	Tecrl
ENSRNOG00000057570	AABR07015648.1
ENSRNOG00000054885	SCARNA4
ENSRNOG00000027195	Clrn2
ENSRNOG00000047839	RGD1561699
ENSRNOG00000060498	AABR07015761.1
ENSRNOG00000039890	Abcg3l3
ENSRNOG00000025670	Shisa3
ENSRNOG00000003289	Lap3
ENSRNOG00000007993	Sh3tc1
ENSRNOG00000002484	Chrna9
ENSRNOG00000002152	Dcun1d4
ENSRNOG00000002153	Cep135
ENSRNOG00000002154	Mepe
ENSRNOG00000002158	Ibsp
ENSRNOG00000002159	Agpat9
ENSRNOG00000041525	AABR07014983.1
ENSRNOG00000017074	Rab28
ENSRNOG00000057727	AABR07015500.1
ENSRNOG00000057726	AABR07015942.1
ENSRNOG00000058760	AC114845.1
ENSRNOG00000059490	RNaseP_nuc
ENSRNOG00000059140	Myo1g
ENSRNOG00000056056	U6
ENSRNOG00000004473	Ppargc1a
ENSRNOG00000025882	Nipal1
ENSRNOG00000033346	LOC100361636
ENSRNOG00000002093	Tgfbr3
ENSRNOG00000026518	Tmem156
ENSRNOG00000004130	Anapc4
ENSRNOG00000059848	U6
ENSRNOG00000050726	AABR07015582.2
ENSRNOG00000021986	AABR07015006.1
ENSRNOG00000005261	Fbxl5
ENSRNOG00000001990	Ugt2b17
ENSRNOG00000001996	Ythdc1
ENSRNOG00000046327	Rbpj
ENSRNOG00000058302	SNORA17
ENSRNOG00000061409	SNORA66
ENSRNOG00000013720	Aebp1
ENSRNOG00000060757	SNORA17
ENSRNOG00000002408	Rbm47
ENSRNOG00000006575	Ccdc96
ENSRNOG00000024545	Ccdc18
ENSRNOG00000004940	Rnf215
ENSRNOG00000056502	U6
ENSRNOG00000054686	AABR07015800.2
ENSRNOG00000054685	pRNA
ENSRNOG00000041613	AABR07072363.1
ENSRNOG00000000064	Atp5i
ENSRNOG00000000065	Pde6b
ENSRNOG00000000062	Pcgf3
ENSRNOG00000000060	Cplx1
ENSRNOG00000055083	Csn1s2b
ENSRNOG00000055559	SNORA13
ENSRNOG00000047758	RGD1564102
ENSRNOG00000052680	AABR07014630.1
ENSRNOG00000018709	Patz1
ENSRNOG00000045591	AABR07014089.1
ENSRNOG00000053644	AC129695.1
ENSRNOG00000051648	AABR07016566.1
ENSRNOG00000051641	U6atac
ENSRNOG00000051642	SNORA17
ENSRNOG00000059419	AC114117.1
ENSRNOG00000050890	AABR07015510.1
ENSRNOG00000048860	AABR07015834.1
ENSRNOG00000048867	AABR07016310.1
ENSRNOG00000059908	AABR07015647.1
ENSRNOG00000002217	Plac8
ENSRNOG00000002216	Srd5a3
ENSRNOG00000002214	Klhl8
ENSRNOG00000002212	Hsd17b13
ENSRNOG00000002210	Hsd17b11
ENSRNOG00000002218	Stbd1
ENSRNOG00000049387	Vom2r70
ENSRNOG00000054521	AABR07015510.2
ENSRNOG00000046835	Vom2r71
ENSRNOG00000059599	AABR07014323.1
ENSRNOG00000005094	C1qtnf7
ENSRNOG00000060039	U2
ENSRNOG00000060037	AABR07014638.1
ENSRNOG00000037162	Slbp
ENSRNOG00000052275	H2afv
ENSRNOG00000013832	Fam193a
ENSRNOG00000006261	Papolg
ENSRNOG00000003374	Ccdc85a
ENSRNOG00000002024	Epha5
ENSRNOG00000054197	pRNA
ENSRNOG00000043130	pramef20l
ENSRNOG00000053953	AABR07016672.1
ENSRNOG00000059384	AABR07015791.1
ENSRNOG00000059038	7SK
ENSRNOG00000061229	SNORA17
ENSRNOG00000025925	Txk
ENSRNOG00000003553	Efemp1
ENSRNOG00000006033	Spon2
ENSRNOG00000056722	AABR07016578.2
ENSRNOG00000054995	AABR07015652.1
ENSRNOG00000050374	LOC100910143
ENSRNOG00000060518	AABR07015057.1
ENSRNOG00000058481	U7
ENSRNOG00000004290	Grb10
ENSRNOG00000026046	AC094298.1
ENSRNOG00000060891	U1
ENSRNOG00000060890	SNORA17
ENSRNOG00000002292	Hnrpd
ENSRNOG00000054254	SNORA31
ENSRNOG00000054255	U4
ENSRNOG00000043048	Zfp951
ENSRNOG00000052342	U6
ENSRNOG00000053766	Ramp3
ENSRNOG00000057440	AABR07072389.1
ENSRNOG00000057444	SCARNA16
ENSRNOG00000027463	Adamts3
ENSRNOG00000010298	Xbp1
ENSRNOG00000005141	Hus1
ENSRNOG00000005147	Ccdc157
ENSRNOG00000043124	Cckar
ENSRNOG00000002878	Afm
ENSRNOG00000024945	Dusp18
ENSRNOG00000006400	Tbc1d14
ENSRNOG00000002318	Limch1
ENSRNOG00000002312	Atp10d
ENSRNOG00000038150	RGD1560394
ENSRNOG00000057936	AABR07014218.1
ENSRNOG00000057932	U6
ENSRNOG00000049119	AABR07014621.1
ENSRNOG00000003869	Sod3
ENSRNOG00000055797	AABR07016558.2
ENSRNOG00000058894	AABR07016556.3
ENSRNOG00000002932	Wdr19
ENSRNOG00000052531	AABR07015855.1
ENSRNOG00000018475	Eif4enif1
ENSRNOG00000056944	Arhgap24
ENSRNOG00000002101	Paics
ENSRNOG00000002100	Srp72
ENSRNOG00000002106	Usp46
ENSRNOG00000002105	Cdc7
ENSRNOG00000038722	Tlr10
ENSRNOG00000054636	SCARNA6
ENSRNOG00000042380	AABR07014265.1
ENSRNOG00000051616	AABR07014823.1
ENSRNOG00000004168	Slc35e4
ENSRNOG00000004161	Mtif2
ENSRNOG00000053693	pRNA
ENSRNOG00000051349	Rn60_14_0447.1
ENSRNOG00000059179	AABR07014125.2
ENSRNOG00000033073	Vom2r68
ENSRNOG00000061143	U1
ENSRNOG00000052470	7SK
ENSRNOG00000052477	Tbrg4
ENSRNOG00000008182	Htra3
ENSRNOG00000048294	AABR07014384.1
ENSRNOG00000003392	Grsf1
ENSRNOG00000017329	LOC688176
ENSRNOG00000056634	U6
ENSRNOG00000005113	Nkx1-1
ENSRNOG00000004640	Mtfp1
ENSRNOG00000060665	Afap1
ENSRNOG00000022176	Gpr75
ENSRNOG00000026873	Rn60_14_0866.3
ENSRNOG00000031296	Rn60_14_0792.1
ENSRNOG00000055710	SNORA17
ENSRNOG00000008374	Nipsnap1
ENSRNOG00000045758	AABR07015555.1
ENSRNOG00000001960	Sult1d1
ENSRNOG00000001967	Sult1b1
ENSRNOG00000056438	AC112624.1
ENSRNOG00000057525	U6
ENSRNOG00000057388	U4
ENSRNOG00000057383	U1
ENSRNOG00000054716	AABR07015907.1
ENSRNOG00000009154	Hmx1
ENSRNOG00000004057	Ccdc88a
ENSRNOG00000061477	SNORA77
ENSRNOG00000061473	SNORA17
ENSRNOG00000002182	11-Sep
ENSRNOG00000002181	Helq
ENSRNOG00000002180	Tbc1d1
ENSRNOG00000002186	Nudt9
ENSRNOG00000002185	Pgm2
ENSRNOG00000002188	Hpse
ENSRNOG00000029628	Arl9
ENSRNOG00000009642	Cct4
ENSRNOG00000005346	Tmem128
ENSRNOG00000004932	Sel1l3
ENSRNOG00000000035	Tmed11
ENSRNOG00000041575	AABR07016650.1
ENSRNOG00000055507	U6
ENSRNOG00000059469	Otx1
ENSRNOG00000055970	AABR07015468.1
ENSRNOG00000003901	Ccdc104
ENSRNOG00000058474	AABR07015941.1
ENSRNOG00000058471	AABR07014897.3
ENSRNOG00000008103	Mdh1
ENSRNOG00000026091	Slc10a4
ENSRNOG00000056869	AABR07015002.1
