ENS_GENEID	geneSymbol
ENSRNOG00000061204	U4
ENSRNOG00000055024	AABR07016674.1
ENSRNOG00000018412	Sfi1
ENSRNOG00000032160	LOC680579
ENSRNOG00000052080	Camk2b
ENSRNOG00000019451	Smtn
ENSRNOG00000058724	AC136013.2
ENSRNOG00000057070	AABR07014350.1
ENSRNOG00000051043	Rn60_14_0458.1
ENSRNOG00000010996	Mob1b
ENSRNOG00000055341	U7
ENSRNOG00000055347	U6
ENSRNOG00000058935	AABR07014289.1
ENSRNOG00000050580	Pom121l12
ENSRNOG00000058202	Ppp2r2c
ENSRNOG00000049828	Crlf2
ENSRNOG00000061683	U6
ENSRNOG00000002506	Cdkl2
ENSRNOG00000024390	Osm
ENSRNOG00000034016	Ube2d4
ENSRNOG00000034011	AA415398
ENSRNOG00000054236	AABR07016573.1
ENSRNOG00000054232	U6
ENSRNOG00000005338	Drd5
ENSRNOG00000054586	7SK
ENSRNOG00000048183	Mir328b
ENSRNOG00000046587	Mir193b
ENSRNOG00000052324	Y_RNA
ENSRNOG00000041913	5S_rRNA
ENSRNOG00000054916	AABR07015654.1
ENSRNOG00000035514	Mir216a
ENSRNOG00000035518	Mir217
ENSRNOG00000022255	Tmprss11e
ENSRNOG00000022256	Cxcl10
ENSRNOG00000051932	AABR07016635.1
ENSRNOG00000023397	LOC102552732
ENSRNOG00000061516	AABR07014342.1
ENSRNOG00000003069	Cd38
ENSRNOG00000003067	Npffr2
ENSRNOG00000025494	Nsun7
ENSRNOG00000003064	Bst1
ENSRNOG00000002336	Gabra4
ENSRNOG00000024454	Ccdc149
ENSRNOG00000057953	Cox7b2
ENSRNOG00000003887	Lgi2
ENSRNOG00000053303	Bend4
ENSRNOG00000052820	7SK
ENSRNOG00000055442	SNORA17
ENSRNOG00000047391	AABR07014301.1
ENSRNOG00000053463	AABR07016310.2
ENSRNOG00000054896	Pex13
ENSRNOG00000055850	AABR07015522.1
ENSRNOG00000060489	AABR07015639.1
ENSRNOG00000025121	Pla2g3
ENSRNOG00000060157	SNORA66
ENSRNOG00000058513	Eif6-ps1
ENSRNOG00000002911	Alb
ENSRNOG00000033251	Rn60_14_0474.1
ENSRNOG00000006329	Peli1
ENSRNOG00000056287	SNORA26
ENSRNOG00000003296	Dck
ENSRNOG00000056966	U7
ENSRNOG00000002169	Pdcl2
ENSRNOG00000002168	Dspp
ENSRNOG00000002165	Fam175a
ENSRNOG00000002164	Nmu
ENSRNOG00000002167	Dmp1
ENSRNOG00000002161	Tlr6
ENSRNOG00000002163	Klf3
ENSRNOG00000049076	Vwc2
ENSRNOG00000053058	AABR07014885.1
ENSRNOG00000016818	Fgfr3
ENSRNOG00000061121	Wdfy3
ENSRNOG00000015033	Mxd4
ENSRNOG00000007283	Erlec1
ENSRNOG00000007864	Vrk2
ENSRNOG00000028043	Cxcl3
ENSRNOG00000037865	Hormad2
ENSRNOG00000051169	Clnk
ENSRNOG00000057861	AABR07015907.2
ENSRNOG00000056382	SNORA9
ENSRNOG00000005130	Ogdh
ENSRNOG00000061590	AABR07014298.1
